Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene2783	24438081	NW_002476544.1	360891	361718	-	TTHERM_000263049	XM_012795893.1	transmembrane protein, putative
gene2784	7846157	NW_002476544.1	362778	365801	-	TTHERM_00263050	XM_001009054.3	hypothetical protein
gene2785	7846159	NW_002476544.1	367291	368466	+	TTHERM_00263070	XM_001009056.1	oligomerization domain protein
gene2786	7846160	NW_002476544.1	369903	371232	+	TTHERM_00263080	XM_001009057.1	transmembrane protein, putative
gene2787	7846161	NW_002476544.1	371932	374646	+	TTHERM_00263090	XM_001009058.1	hypothetical protein
gene2788	7846162	NW_002476544.1	375981	377663	+	TTHERM_00263100	XM_001009059.2	hypothetical protein
gene2789	7846163	NW_002476544.1	379237	381571	-	TTHERM_00263110	XM_001009060.3	divergent AAA domain protein
gene2790	24438082	NW_002476544.1	381714	382028	-	TTHERM_000263119	XM_012795894.1	hypothetical protein
gene2791	7846164	NW_002476544.1	382425	383229	-	TTHERM_00263120	XM_001009061.2	transmembrane protein, putative
gene2792	7846165	NW_002476544.1	383539	384250	-	TTHERM_00263130	XM_001009062.1	thymidylate kinase
gene2793	7831834	NW_002476544.1	384927	386081	-	TTHERM_00263140	XM_001009063.2	LITAF-like zinc ribbon domain protein
gene2794	7831970	NW_002476544.1	386531	392677	+	TTHERM_00263150	XM_001009064.3	tetratricopeptide repeat protein
gene2795	7831971	NW_002476544.1	393932	394966	-	TTHERM_00263160	XM_001009065.2	hypothetical protein
gene2796	7831972	NW_002476544.1	396890	399386	-	TTHERM_00263170	XM_001009066.1	hypothetical protein
gene2797	7831973	NW_002476544.1	401918	405116	-	TTHERM_00263180	XM_001009067.2	hypothetical protein
gene2798	7831975	NW_002476544.1	409988	412375	+	TTHERM_00263200	XM_001009069.1	hypothetical protein
gene2799	7831976	NW_002476544.1	413287	414799	-	TTHERM_00263210	XM_001009070.1	TMS membrane protein/tumor differentially protein
gene2800	7831977	NW_002476544.1	416091	417465	+	TTHERM_00263220	XM_001009071.4	protein kinase
gene2801	7831978	NW_002476544.1	419295	420631	-	TTHERM_00263230	XM_001009072.3	enoyl-CoA hydratase/isomerase
gene2802	7831979	NW_002476544.1	421131	425500	-	TTHERM_00263240	XM_001009073.2	hypothetical protein
gene2803	7831980	NW_002476544.1	429320	433669	+	TTHERM_00263250	XM_001009074.1	YLP motif protein
gene2804	24438083	NW_002476544.1	435467	440473	+	TTHERM_000263288	XM_012795895.1	YLP motif protein
gene2805	24438084	NW_002476544.1	441743	446918	+	TTHERM_000263289	XM_012795896.1	YLP motif protein
gene2806	7831984	NW_002476544.1	449186	462758	+	TTHERM_00263290	XM_001009078.2	SF-assemblin/beta giardin family protein
gene2807	7831987	NW_002476544.1	464032	465057	-	TTHERM_00263310	XM_001009080.4	transmembrane protein, putative
gene2808	7831988	NW_002476544.1	465829	480816	-	TTHERM_00263320	XM_001009081.2	chitin recognition protein
gene2809	7831989	NW_002476544.1	482376	484816	-	TTHERM_00263330	XM_001009082.3	kinesin motor catalytic domain protein
gene2810	7831990	NW_002476544.1	485897	486517	-	TTHERM_00263340	XM_001009083.2	Serine/Threonine kinase, putative
gene2811	24438085	NW_002476544.1	488017	488866	+	TTHERM_000263358	XM_012795897.1	hypothetical protein
gene2812	24438086	NW_002476544.1	490001	490539	+	TTHERM_000263359	XM_012795898.1	hypothetical protein
gene2813	7831992	NW_002476544.1	491272	491691	-	TTHERM_00263360	XM_001009085.2	immobilization antigen LA, putative
gene2814	7831993	NW_002476544.1	492941	493366	-	TTHERM_00263370	XM_001009086.2	Serine/Threonine kinase, putative
gene2815	24438087	NW_002476544.1	494144	494683	+	TTHERM_000263379	XM_012795899.1	transmembrane protein, putative
gene2816	7831994	NW_002476544.1	495458	497278	+	TTHERM_00263380	XM_001009087.3	cytosol aminopeptidase
gene2817	24438088	NW_002476544.1	497996	499960	-	TTHERM_000263389	XM_012795900.1	cyclic nucleotide-binding domain protein
gene2818	7831995	NW_002476544.1	500576	505749	-	TTHERM_00263390	XM_001009088.3	cyclic nucleotide-binding domain protein
gene2819	24438089	NW_002476544.1	506775	507623	-	TTHERM_000263399	XM_012795901.1	cyclic nucleotide-binding domain protein
gene2820	7831996	NW_002476544.1	509577	511409	-	TTHERM_00263400	XM_001009089.3	ion channel protein
gene2821	7831997	NW_002476544.1	512403	516179	-	TTHERM_00263409	XM_001471102.2	cyclic nucleotide-binding domain protein
gene2822	7831998	NW_002476544.1	516667	517404	-	TTHERM_00263410	XM_001009090.1	cyclic nucleotide-binding domain protein, putative
gene2823	7831999	NW_002476544.1	518609	519928	+	TTHERM_00263420	XM_001009091.1	hypothetical protein
gene2824	7832000	NW_002476544.1	520641	521444	-	TTHERM_00263430	XM_001009092.2	hypothetical protein
gene2825	7832001	NW_002476544.1	522519	523863	-	TTHERM_00263440	XM_001009093.3	Tat-interacting protein TIP30, putative
gene2826	7832002	NW_002476544.1	524275	529903	-	TTHERM_00263450	XM_001009094.2	cyclic nucleotide-binding domain protein
gene2827	7832003	NW_002476544.1	530903	535922	-	TTHERM_00263460	XM_001009095.2	cyclic nucleotide-binding domain protein
gene2828	7832004	NW_002476544.1	536997	539938	-	TTHERM_00263470	XM_001009096.2	cyclic nucleotide-binding domain protein, putative
gene2829	7832005	NW_002476544.1	542513	547382	-	TTHERM_00263480	XM_001009097.2	cyclic nucleotide-binding domain protein
gene2830	7832006	NW_002476544.1	547924	551203	-	TTHERM_00263490	XM_001009098.2	cyclic nucleotide-binding domain protein
gene2831	24438090	NW_002476544.1	551554	552545	-	TTHERM_000263499	XM_012795902.1	cyclic nucleotide-binding domain protein
gene2832	7832007	NW_002476544.1	553635	557343	-	TTHERM_00263500	XM_001009099.2	cation channel family protein
gene2833	7843184	NW_002476544.1	559700	564167	-	TTHERM_00263510	XM_001009100.2	cyclic nucleotide-binding domain protein
gene2834	7826076	NW_002476544.1	565060	570178	-	TTHERM_00263520	XM_001009101.2	cation channel family transporter
gene2835	7826077	NW_002476544.1	571042	575959	-	TTHERM_00263530	XM_001009102.2	cyclic nucleotide-binding domain protein
gene2836	7826079	NW_002476544.1	578598	584816	-	TTHERM_00263550	XM_001009104.2	cyclic nucleotide-binding domain protein
gene2837	7826081	NW_002476544.1	586884	592419	-	TTHERM_00263570	XM_001009106.2	cyclic nucleotide-binding domain protein
gene2838	7826082	NW_002476544.1	593818	599693	-	TTHERM_00263580	XM_001009107.2	cyclic nucleotide-binding domain protein
gene2839	7826084	NW_002476544.1	601433	607557	-	TTHERM_00263600	XM_001009109.2	cyclic nucleotide-binding domain protein
gene2840	7826086	NW_002476544.1	608825	609616	+	TTHERM_00263620	XM_001009111.1	carbonic anhydrase
gene2841	7826087	NW_002476544.1	612078	620419	+	TTHERM_00263630	XM_001009112.2	helicase carboxy-terminal domain protein
gene2842	7826090	NW_002476544.1	626040	627274	+	TTHERM_00263660	XM_001009115.2	hypothetical protein
gene2843	7826091	NW_002476544.1	628697	629591	+	TTHERM_00263670	XM_001009116.2	carbonic anhydrase
gene2844	7826092	NW_002476544.1	631166	635954	+	TTHERM_00263680	XM_001009117.3	hypothetical protein
gene2845	24438091	NW_002476544.1	636496	636973	+	TTHERM_000263686	XM_012795903.1	hypothetical protein
gene2846	24438092	NW_002476544.1	638109	638664	-	TTHERM_000263693	XM_012795904.1	hypothetical protein
gene2847	24438093	NW_002476544.1	640032	640547	-	TTHERM_000263700	XM_012795905.1	hypothetical protein
gene2848	24438094	NW_002476544.1	640620	640860	-	TTHERM_000263707	XM_012795906.1	hypothetical protein
gene2849	7826093	NW_002476544.1	643262	653686	+	TTHERM_00264680	XM_001009118.3	helicase carboxy-terminal domain protein, putative
gene2850	7826094	NW_002476544.1	654226	655575	-	TTHERM_00264690	XM_001009119.3	flavin containing family amine oxidase
gene2851	24438095	NW_002476544.1	657924	659214	+	TTHERM_000264709	XM_012795907.1	transmembrane protein, putative
gene2852	7826096	NW_002476544.1	659920	662960	-	TTHERM_00264710	XM_001009121.2	cyclic nucleotide-binding domain protein
gene2853	24438096	NW_002476544.1	664001	664843	-	TTHERM_000264719	XM_012795908.1	hypothetical protein
gene2854	7826097	NW_002476544.1	666017	668098	-	TTHERM_00264720	XM_001009122.2	hypothetical protein
gene2855	7826098	NW_002476544.1	670318	673324	-	TTHERM_00264730	XM_001009123.2	EEIG1/EHBP1 protein amine-terminal domain protein
gene2856	7826099	NW_002476544.1	675284	682579	+	TTHERM_00264740	XM_001009124.2	cation channel family protein
gene2857	7826101	NW_002476544.1	684195	686387	-	TTHERM_00264760	XM_001009126.3	hypothetical protein
gene2858	24438097	NW_002476544.1	698607	699513	-	TTHERM_000264768	XM_012795909.1	hypothetical protein
gene2859	24438098	NW_002476544.1	700582	701205	-	TTHERM_000264769	XM_012795910.1	transmembrane protein, putative
gene2860	7826102	NW_002476544.1	703434	703721	-	TTHERM_00264770	XM_001009127.1	hypothetical protein
gene2861	7826103	NW_002476544.1	704351	704638	-	TTHERM_00264780	XM_001009128.1	hypothetical protein
gene2862	7826104	NW_002476544.1	708846	709628	-	TTHERM_00264790	XM_001009129.2	ribonuclease T2 family protein
gene2863	7826105	NW_002476544.1	713927	714922	+	TTHERM_00264800	XM_001009130.2	scramblase
gene2864	7826106	NW_002476544.1	715391	719867	-	TTHERM_00264810	XM_001009131.2	transmembrane protein, putative
gene2865	24438099	NW_002476544.1	719990	720468	+	TTHERM_000264819	XM_012795911.1	hypothetical protein
gene2866	7826107	NW_002476544.1	723014	724240	+	TTHERM_00264820	XM_001009132.2	scramblase
gene2867	7826108	NW_002476544.1	726125	728587	+	TTHERM_00264830	XM_001009133.1	transmembrane protein, putative
gene2868	7826109	NW_002476544.1	729612	733383	+	TTHERM_00264840	XM_001009134.2	kinase domain protein
gene2869	7826110	NW_002476544.1	734512	738376	+	TTHERM_00264850	XM_001009135.2	hypothetical protein
gene2870	7826111	NW_002476544.1	740830	741552	+	TTHERM_00264860	XM_001009136.3	transmembrane protein, putative
gene2871	7826113	NW_002476544.1	746506	750529	+	TTHERM_00264890	XM_001009139.2	hypothetical protein
gene2872	24438100	NW_002476544.1	751711	753077	-	TTHERM_000264927	XM_012795912.1	hypothetical protein
gene2873	24438101	NW_002476544.1	754801	755206	+	TTHERM_000264928	XM_012795913.1	hypothetical protein
gene2874	24438102	NW_002476544.1	756691	757080	-	TTHERM_000264929	XM_012795914.1	hypothetical protein
gene2875	7826116	NW_002476544.1	757861	760672	-	TTHERM_00264930	XM_001009143.2	hypothetical protein
gene2876	7826117	NW_002476544.1	762344	763234	+	TTHERM_00264940	XM_001009144.1	Gtr1/RagA G motif protein
gene2877	7826118	NW_002476544.1	764676	765590	+	TTHERM_00264950	XM_001009145.3	Gtr1/RagA G motif protein
gene2878	24438103	NW_002476544.1	767177	767656	+	TTHERM_000264979	XM_012795915.1	transmembrane protein, putative
gene2879	7826120	NW_002476544.1	769502	775705	+	TTHERM_00264980	XM_001009147.2	transmembrane protein, putative
gene2880	7826121	NW_002476544.1	777522	779665	+	TTHERM_00264990	XM_001009148.2	kinase domain protein
gene2881	7826124	NW_002476544.1	783366	785374	+	TTHERM_00265090	XM_001009151.1	hypothetical protein
gene2882	7826125	NW_002476544.1	786793	791676	-	TTHERM_00265100	XM_001009152.2	ATPase, P-type (transporting), HAD superfamily, protein
gene2883	7826126	NW_002476544.1	793988	797860	-	TTHERM_00265110	XM_001009153.2	YLP motif protein, putative
gene2884	7826127	NW_002476544.1	799677	800087	-	TTHERM_00265120	XM_001009154.2	ABC transporter C family protein
gene2885	7826128	NW_002476544.1	800957	801665	-	TTHERM_00265140	XM_001009155.2	hypothetical protein
gene2886	7826129	NW_002476544.1	806384	811888	-	TTHERM_00265150	XM_001009156.3	ABC transporter C family protein
gene2887	24438104	NW_002476544.1	813516	814937	+	TTHERM_000265179	XM_012795916.1	hypothetical protein
gene2888	7826130	NW_002476544.1	816064	819081	+	TTHERM_00265180	XM_001009157.2	Serine/Threonine kinase domain protein
gene2889	7826131	NW_002476544.1	819919	820759	+	TTHERM_00265190	XM_001009158.1	response regulator receiver domain protein
gene2890	7840707	NW_002476543.1	168	4124	-	TTHERM_01478540	XM_001029491.2	hypothetical protein
gene2891	24442388	NW_002476543.1	6605	9422	+	TTHERM_001478550	XM_012795917.1	cyclic nucleotide-binding domain protein
gene2892	7840704	NW_002476543.1	12139	12810	+	TTHERM_01478580	XM_001029495.2	von willebrand factor type A domain protein
gene2893	7840706	NW_002476543.1	13632	17588	-	TTHERM_01478590	XM_001029496.2	hypothetical protein
gene2894	24442389	NW_002476543.1	17931	18245	+	TTHERM_001478590	XM_012795918.1	hypothetical protein
gene2895	24439526	NW_002476542.1	937	1458	+	TTHERM_000550699	XM_012795919.1	hypothetical protein
gene2896	7834453	NW_002476542.1	1838	6330	+	TTHERM_00550700	XM_001009161.3	importin protein
gene2897	7834454	NW_002476542.1	7967	11919	+	TTHERM_00550710	XM_001009162.2	cyclic nucleotide-binding domain protein
gene2898	24439527	NW_002476542.1	12278	12883	-	TTHERM_000550712	XM_012795920.1	transmembrane protein, putative
gene2899	7834455	NW_002476542.1	12888	13343	-	TTHERM_00550720	XM_001009163.3	ubiquitin-conjugating enzyme
gene2900	7834457	NW_002476542.1	15281	18905	-	TTHERM_00550730	XM_001009164.2	protein phosphatase 2c
gene2901	7834458	NW_002476542.1	19852	21027	+	TTHERM_00550740	XM_001009165.2	sperm-tail PG-rich repeat protein
gene2902	24439528	NW_002476542.1	21937	25184	-	TTHERM_000550741	XM_012795921.1	cation channel family protein
gene2903	7834459	NW_002476542.1	25357	26573	-	TTHERM_00550750	XM_001009166.2	cation channel family protein
gene2904	7834460	NW_002476542.1	27636	30785	-	TTHERM_00550760	XM_001009167.3	cyclic nucleotide-binding domain protein
gene2905	24439529	NW_002476542.1	31211	32200	-	TTHERM_000550763	XM_012795922.1	cation channel family protein, putative
gene2906	24439530	NW_002476542.1	33606	43675	-	TTHERM_000550767	XM_012795923.1	cation channel family protein
gene2907	24439531	NW_002476542.1	45031	45597	-	TTHERM_000550771	XM_012795924.1	transmembrane protein, putative
gene2908	24439532	NW_002476542.1	48118	49115	-	TTHERM_000550775	XM_012795925.1	cation channel family protein
gene2909	7834463	NW_002476542.1	50837	55400	+	TTHERM_00550810	XM_001009172.1	hypothetical protein
gene2910	7834464	NW_002476542.1	56438	63643	+	TTHERM_00550820	XM_001009173.2	MORN motif protein
gene2911	7834465	NW_002476542.1	64580	70856	-	TTHERM_00550830	XM_001009174.2	ATPase, histidine kinase-, DNA gyrase B
gene2912	24439533	NW_002476542.1	73661	74840	-	TTHERM_000550837	XM_012795926.1	ATPase, histidine kinase-, DNA gyrase B
gene2913	24439534	NW_002476542.1	76446	76867	+	TTHERM_000550838	XM_012795927.1	hypothetical protein
gene2914	24439535	NW_002476542.1	77058	77420	+	TTHERM_000550839	XM_012795928.1	hypothetical protein
gene2915	7834466	NW_002476542.1	79045	81165	-	TTHERM_00550840	XM_001009175.2	sulfatase
gene2916	7834467	NW_002476542.1	82594	84756	-	TTHERM_00550849	XM_001471105.2	type I phosphodiesterase/nucleotide pyrophosphatase
gene2917	7834468	NW_002476542.1	86195	89444	+	TTHERM_00550850	XM_001009176.2	EXS family protein
gene2918	7834470	NW_002476542.1	91699	94379	+	TTHERM_00550870	XM_001009178.2	EXS family protein
gene2919	7834471	NW_002476542.1	96417	99318	+	TTHERM_00550880	XM_001009179.3	hypothetical protein
gene2920	7834472	NW_002476542.1	100795	103229	+	TTHERM_00550890	XM_001009180.2	ABC-type multidrug transport system, ATPase and permease component
gene2921	7834473	NW_002476542.1	104719	106815	+	TTHERM_00550900	XM_001009181.1	ABC-type multidrug transport system, ATPase and permease component
gene2922	7834474	NW_002476542.1	107226	108521	+	TTHERM_00550910	XM_001009182.1	tubulin/FtsZ family, GTPase domain protein
gene2923	7834475	NW_002476542.1	109182	109856	-	TTHERM_00550920	XM_001009183.3	transmembrane protein, putative
gene2924	24439536	NW_002476542.1	111041	112076	-	TTHERM_000550939	XM_012795929.1	transmembrane protein, putative
gene2925	7834476	NW_002476542.1	115666	115888	-	TTHERM_00550940	XM_001009184.2	hypothetical protein
gene2926	7834477	NW_002476542.1	118529	123081	+	TTHERM_00550950	XM_001009185.2	bowman-birk serine protease inhibitor family protein
gene2927	24439537	NW_002476542.1	125024	126834	-	TTHERM_000550969	XM_012795930.1	transmembrane protein, putative
gene2928	7834478	NW_002476542.1	130701	132356	-	TTHERM_00550970	XM_001009186.2	hypothetical protein
gene2929	24439538	NW_002476542.1	133939	134962	-	TTHERM_000550971	XM_012795931.1	hypothetical protein
gene2930	7834479	NW_002476542.1	138574	139022	+	TTHERM_00551010	XM_001009188.3	hypothetical protein
gene2931	24439539	NW_002476542.1	140318	141467	+	TTHERM_000551029	XM_012795932.1	transmembrane protein, putative
gene2932	7834480	NW_002476542.1	142839	147306	+	TTHERM_00551030	XM_001009190.2	bowman-birk serine protease inhibitor family protein
gene2933	7834481	NW_002476542.1	148616	165596	-	TTHERM_00551040	XM_001009191.1	hydrocephalus-inducing protein
gene2934	24439540	NW_002476542.1	168245	169662	+	TTHERM_000551068	XM_012795933.1	hypothetical protein
gene2935	24439541	NW_002476542.1	169469	169818	-	TTHERM_000551069	XM_012795934.1	transmembrane protein, putative
gene2936	7840407	NW_002476542.1	171490	172948	+	TTHERM_00551070	XM_001009194.3	heterochromatin protein
gene2937	7840643	NW_002476542.1	173309	174267	-	TTHERM_00551080	XM_001009195.2	hypothetical protein
gene2938	7840644	NW_002476542.1	175209	177492	-	TTHERM_00551090	XM_001009196.3	26S proteasome ATPase regulatory subunit 6
gene2939	7840645	NW_002476542.1	179681	185212	+	TTHERM_00551100	XM_001009197.2	transmembrane protein, putative
gene2940	7840646	NW_002476542.1	186959	188251	+	TTHERM_00551110	XM_001009198.1	hypothetical protein
gene2941	7840647	NW_002476542.1	189570	192749	+	TTHERM_00551120	XM_001009199.3	Cdc14 phosphatase-binding protein amine-terminal protein
gene2942	7840648	NW_002476542.1	194023	195739	-	TTHERM_00551130	XM_001009200.3	hypothetical protein
gene2943	7840649	NW_002476542.1	197025	203203	+	TTHERM_00551140	XM_001009201.3	zinc carboxypeptidase family protein
gene2944	7840650	NW_002476542.1	204017	206098	+	TTHERM_00551150	XM_001009202.4	hypothetical protein
gene2945	7840651	NW_002476542.1	208118	209903	+	TTHERM_00551160	XM_001009203.3	glyceraldehyde-3-phosphate dehydrogenase
gene2946	7840652	NW_002476542.1	211735	220682	+	TTHERM_00551170	XM_001009204.2	transmembrane protein, putative
gene2947	7840653	NW_002476542.1	222726	232245	+	TTHERM_00551190	XM_001009206.3	transmembrane protein, putative
gene2948	24439542	NW_002476542.1	232674	236734	+	TTHERM_000551200	XM_012795935.1	hypothetical protein
gene2949	24439543	NW_002476542.1	236805	238189	+	TTHERM_000551211	XM_012795936.1	hypothetical protein
gene2950	24439544	NW_002476542.1	238254	240061	+	TTHERM_000551222	XM_012795937.1	hypothetical protein
gene2951	7840655	NW_002476542.1	244460	253903	+	TTHERM_00554180	XM_001009208.3	transmembrane protein, putative
gene2952	7840656	NW_002476542.1	255402	256663	+	TTHERM_00554190	XM_001009209.2	glyceraldehyde-3-phosphate dehydrogenase
gene2953	7840657	NW_002476542.1	257181	264633	+	TTHERM_00554220	XM_001009212.3	transmembrane protein, putative
gene2954	7840658	NW_002476542.1	264919	266195	+	TTHERM_00554230	XM_001009213.2	transmembrane protein, putative
gene2955	24439545	NW_002476542.1	267864	276663	+	TTHERM_000554269	XM_012795938.1	transmembrane protein, putative
gene2956	7840662	NW_002476542.1	277379	280794	-	TTHERM_00554270	XM_001009217.3	MCM2/3/5 family protein
gene2957	7840663	NW_002476542.1	282173	283293	+	TTHERM_00554280	XM_001009218.2	OTU-like cysteine protease family protein, putative
gene2958	7840664	NW_002476542.1	284306	295818	+	TTHERM_00554290	XM_001009219.2	transmembrane protein, putative
gene2959	24439546	NW_002476542.1	297747	298280	-	TTHERM_000554309	XM_012795939.1	hypothetical protein
gene2960	7840666	NW_002476542.1	299287	308169	-	TTHERM_00554310	XM_001009221.2	kinase domain protein
gene2961	7840667	NW_002476542.1	309976	311275	+	TTHERM_00554320	XM_001009222.3	tyrosine/nicotianamine aminotransferase
gene2962	7840668	NW_002476542.1	311744	316471	-	TTHERM_00554330	XM_001009223.2	cyclic nucleotide-binding domain protein
gene2963	7840669	NW_002476542.1	318156	319388	+	TTHERM_00554340	XM_001009224.1	dynein assembly factor 1, axonemal protein, putative
gene2964	7840670	NW_002476542.1	320238	321878	-	TTHERM_00554350	XM_001009225.3	WD40 domain protein
gene2965	7840671	NW_002476542.1	323235	324738	+	TTHERM_00554360	XM_001009226.3	chaperone DnaJ
gene2966	7840672	NW_002476542.1	325370	333978	-	TTHERM_00554370	XM_001009227.2	phosphatidylinositol 3-kinase
gene2967	7840673	NW_002476542.1	334696	336957	-	TTHERM_00554380	XM_001009228.1	RING finger protein
gene2968	7840674	NW_002476542.1	338984	340370	-	TTHERM_00554390	XM_001009229.4	transmembrane protein, putative
gene2969	24439547	NW_002476542.1	346393	346968	+	TTHERM_000554419	XM_012795940.1	hypothetical protein
gene2970	7840677	NW_002476542.1	351134	353146	+	TTHERM_00554420	XM_001009232.1	AMP-dependent synthetase/ligase
gene2971	7840678	NW_002476542.1	353442	353979	-	TTHERM_00554430	XM_001009233.1	hypothetical protein
gene2972	7840679	NW_002476542.1	355309	356403	-	TTHERM_00554440	XM_001009234.2	hypothetical protein
gene2973	7840680	NW_002476542.1	357686	358828	-	TTHERM_00554449	XM_001471106.1	hypothetical protein
gene2974	7840681	NW_002476542.1	360069	362333	-	TTHERM_00554450	XM_001009235.1	AMP-binding enzyme family protein
gene2975	7840682	NW_002476542.1	363895	366236	-	TTHERM_00554460	XM_001009236.2	AMP-binding enzyme family protein
gene2976	7840683	NW_002476542.1	367202	367497	-	TTHERM_00554470	XM_001009237.1	hypothetical protein
gene2977	7840684	NW_002476542.1	368577	368782	+	TTHERM_00554480	XM_001009238.1	hypothetical protein
gene2978	7840685	NW_002476542.1	369044	370977	-	TTHERM_00554490	XM_001009239.1	hypothetical protein
gene2979	7840686	NW_002476542.1	372006	374333	-	TTHERM_00554500	XM_001009240.1	AMP-binding enzyme family protein
gene2980	7840687	NW_002476542.1	375145	375384	-	TTHERM_00554510	XM_001009241.1	hypothetical protein
gene2981	7840688	NW_002476542.1	377166	379498	-	TTHERM_00554520	XM_001009242.1	AMP-binding enzyme family protein
gene2982	7840689	NW_002476542.1	380301	381167	-	TTHERM_00554530	XM_001009243.1	hypothetical protein
gene2983	24439548	NW_002476542.1	381276	381437	-	TTHERM_000554539	XM_012795941.1	hypothetical protein
gene2984	7840690	NW_002476542.1	383332	385666	-	TTHERM_00554540	XM_001009244.2	AMP-binding enzyme family protein
gene2985	7840691	NW_002476542.1	387230	388215	-	TTHERM_00554550	XM_001009245.1	hypothetical protein
gene2986	7840692	NW_002476542.1	390661	391093	-	TTHERM_00554560	XM_001009246.1	hypothetical protein
gene2987	7840693	NW_002476542.1	392023	392187	-	TTHERM_00554570	XM_001009247.2	hypothetical protein
gene2988	24439549	NW_002476542.1	392889	394342	-	TTHERM_000554579	XM_012795942.1	transmembrane protein, putative
gene2989	7840694	NW_002476542.1	395285	396062	-	TTHERM_00554580	XM_001009248.1	hypothetical protein
gene2990	24439550	NW_002476542.1	396758	397008	-	TTHERM_000554589	XM_012795943.1	transmembrane protein, putative
gene2991	7840695	NW_002476542.1	399487	400530	-	TTHERM_00554590	XM_001009249.3	hypothetical protein
gene2992	7840696	NW_002476542.1	401553	405659	+	TTHERM_00554600	XM_001009250.2	condensin complex subunit 2
gene2993	7840697	NW_002476542.1	408651	411618	-	TTHERM_00554610	XM_001009251.3	ubiquitin-like modifier-activating enzyme
gene2994	24439551	NW_002476542.1	411761	412081	-	TTHERM_000554619	XM_012795944.1	hypothetical protein
gene2995	7840698	NW_002476542.1	414422	416374	+	TTHERM_00554620	XM_001009252.3	transmembrane protein, putative
gene2996	7840699	NW_002476542.1	418559	420205	+	TTHERM_00554630	XM_001009253.2	transmembrane protein, putative
gene2997	7840700	NW_002476542.1	422061	424151	+	TTHERM_00554640	XM_001009254.2	transmembrane protein, putative
gene2998	24439552	NW_002476542.1	425754	428818	+	TTHERM_000554649	XM_012795945.1	transmembrane protein, putative
gene2999	7840701	NW_002476542.1	433761	434424	+	TTHERM_00554650	XM_001009255.3	transmembrane protein, putative
gene3000	7840702	NW_002476542.1	436059	439159	+	TTHERM_00555650	XM_001009256.2	transmembrane protein, putative
gene3001	7834452	NW_002476541.1	768	6189	-	TTHERM_01445920	XM_001029536.2	kinase domain protein
gene3002	7834448	NW_002476541.1	10774	11326	-	TTHERM_01445930	XM_001029537.1	hypothetical protein
gene3003	7834450	NW_002476541.1	11956	17532	-	TTHERM_01445950	XM_001029539.4	kinase domain protein
gene3004	24442463	NW_002476540.1	3070	3704	+	TTHERM_001563108	XM_012795946.1	hypothetical protein
gene3005	24442464	NW_002476540.1	5906	6193	+	TTHERM_001563109	XM_012795947.1	regulator of chromosome condensation (RCC1) protein
gene3006	7834447	NW_002476540.1	6372	7307	+	TTHERM_01563110	XM_001009257.2	hypothetical protein
gene3007	7834446	NW_002476540.1	9448	10779	+	TTHERM_01564120	XM_001009259.2	kinase domain protein
gene3008	7834444	NW_002476539.1	472	2727	+	TTHERM_00843720	XM_001009260.2	transmembrane protein, putative
gene3009	7840300	NW_002476539.1	3986	4282	-	TTHERM_00844730	XM_001009262.3	transmembrane protein, putative
gene3010	24440896	NW_002476539.1	5369	6743	+	TTHERM_000844740	XM_012795948.1	hypothetical protein
gene3011	7840301	NW_002476539.1	7577	13589	+	TTHERM_00845730	XM_001009263.3	transmembrane protein, putative
gene3012	24440897	NW_002476539.1	14632	15220	+	TTHERM_000845734	XM_012795949.1	hypothetical protein
gene3013	24440898	NW_002476539.1	16235	16621	+	TTHERM_000845739	XM_012795950.1	transmembrane protein, putative
gene3014	7840303	NW_002476539.1	18040	24862	+	TTHERM_00845760	XM_001009266.3	transmembrane protein, putative
gene3015	7840304	NW_002476539.1	28527	31556	+	TTHERM_00845770	XM_001009267.2	hypothetical protein
gene3016	24440899	NW_002476539.1	33214	34231	+	TTHERM_000845772	XM_012795951.1	transmembrane protein, putative
gene3017	24440900	NW_002476539.1	36221	38998	+	TTHERM_000845775	XM_012795952.1	transmembrane protein, putative
gene3018	24440901	NW_002476539.1	39604	40739	+	TTHERM_000845778	XM_012795953.1	hypothetical protein
gene3019	7840306	NW_002476539.1	42814	50488	+	TTHERM_00845800	XM_001009270.2	transmembrane protein, putative
gene3020	24440902	NW_002476539.1	54162	55258	+	TTHERM_000845809	XM_012795954.1	hypothetical protein
gene3021	7840307	NW_002476539.1	56985	62697	+	TTHERM_00845810	XM_001009271.3	transmembrane protein, putative
gene3022	24440903	NW_002476539.1	63938	64564	-	TTHERM_000845819	XM_012795955.1	transmembrane protein, putative
gene3023	7840308	NW_002476539.1	64623	65162	+	TTHERM_00845820	XM_001009272.2	hypothetical protein
gene3024	7840309	NW_002476539.1	65955	67657	+	TTHERM_00845830	XM_001009273.1	transmembrane protein, putative
gene3025	7840310	NW_002476539.1	68876	72457	+	TTHERM_00845840	XM_001009274.2	transmembrane protein, putative
gene3026	7840311	NW_002476539.1	73946	74623	-	TTHERM_00845850	XM_001009275.1	hypothetical protein
gene3027	7840313	NW_002476539.1	78334	78798	+	TTHERM_00845870	XM_001009277.2	hypothetical protein
gene3028	7840314	NW_002476539.1	80902	81459	-	TTHERM_00845880	XM_001009278.2	hypothetical protein
gene3029	7840315	NW_002476539.1	81931	82296	+	TTHERM_00845890	XM_001009279.1	hypothetical protein
